Rotation,PartGroup,Part_Number,Supplier,Location Pick,Model,Date,Time
0008,GROUP 11,P1VB-E045B58-ED31TR,SI,PK-06-2,U704,30/01/2026,08:13:39
0009,GROUP 01,RB3T-14290-XRC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:15:36
0009,GROUP 07,RB3T-14A005-KAMC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:15:36
0009,GROUP 01,P1VT-14630-URF,SEWT,PA-21-3,U704,30/01/2026,08:15:36
0009,GROUP 01,P1VT-14631-URF,SEWT,PA-16-2,U704,30/01/2026,08:15:36
0009,GROUP 01,P1VT-14632-UAG,SEWT,PA-24-1,U704,30/01/2026,08:15:36
0009,GROUP 01,P1VT-14633-UAG,SEWT,PA-25-1,U704,30/01/2026,08:15:36
0009,GROUP 02,RB3T-14405-UEC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:15:36
0009,GROUP 02,PB3T-2B572-PXE,SEWT,PB-39-1,U704,30/01/2026,08:15:36
0009,LOT,MB3T-14301-AF,SEWT,LD-01,U704,30/01/2026,08:15:36
0009,LOT,PB3T-14B060-UAF,SEWT,LD-01,U704,30/01/2026,08:15:36
0009,GROUP 03,PB3T-7C078-BUC,SEWT,PC-19-2,U704,30/01/2026,08:15:36
0009,GROUP 04,R1VT-14401-RXC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:15:36
0009,GROUP 04,PB3B-2104545-CC,HAS,PD-01,U704,30/01/2026,08:15:36
0009,GROUP 06L,N1WB-13E017-BH,TK,PH-04,U704,30/01/2026,08:15:36
0009,GROUP 06R,N1WB-13E016-BH,TK,PG-04,U704,30/01/2026,08:15:36
0009,GROUP 07,RB3T-14A005-KAMC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:15:36
0009,LOT,PB3T-2B325-UEE,SEWT,LD-01,U704,30/01/2026,08:15:36
0009,GROUP 09R,N1VB-16450-CC,ARK,PE-03,U704,30/01/2026,08:15:36
0009,GROUP 09L,N1VB-16451-CC,ARK,PE-04,U704,30/01/2026,08:15:36
0009,GROUP 10,N1WB-E044D70-KLSM0A,SI,PI-02-1,U704,30/01/2026,08:15:36
0009,GROUP 10,N1WB-E04652-PA3ZHE,SI,PJ-01-1,U704,30/01/2026,08:15:36
0009,GROUP 11,N1WB-E045B58-KNSM0A,SI,PX-SPECIAL,U704,30/01/2026,08:15:36
0010,GROUP 01,RB3T-14290-VDC,SEWT,PA-28-3,U704,30/01/2026,08:17:33
0010,GROUP 07,RB3T-14A005-KAXC,SEWT,PB-32-1,U704,30/01/2026,08:17:33
0010,GROUP 01,P1VT-14630-UBD,SEWT,PA-15-3,U704,30/01/2026,08:17:33
0010,GROUP 01,P1VT-14631-UDD,SEWT,PA-16-3,U704,30/01/2026,08:17:33
0010,GROUP 01,P1VT-14632-UBF,SEWT,PA-20-1,U704,30/01/2026,08:17:33
0010,GROUP 01,P1VT-14633-UBF,SEWT,PA-21-1,U704,30/01/2026,08:17:33
0010,GROUP 02,RB3T-14405-UFC,SEWT,PB-34-4,U704,30/01/2026,08:17:33
0010,GROUP 02,PB3T-2B572-PXE,SEWT,PB-39-1,U704,30/01/2026,08:17:33
0010,LOT,MB3T-14301-AF,SEWT,LD-01,U704,30/01/2026,08:17:33
0010,LOT,PB3T-14B060-NBD,SEWT,LD-01,U704,30/01/2026,08:17:33
0010,GROUP 04,R1VT-14401-CVC,SEWT,PC-16-4,U704,30/01/2026,08:17:33
0010,GROUP 04,PB3B-2104545-EC,HAS,PD-02,U704,30/01/2026,08:17:33
0010,GROUP 06L,N1WB-13E015-CF,TK,PH-02,U704,30/01/2026,08:17:33
0010,GROUP 06R,N1WB-13E014-CF,TK,PG-02,U704,30/01/2026,08:17:33
0010,GROUP 07,RB3T-14A005-KAXC,SEWT,PB-32-1,U704,30/01/2026,08:17:33
0010,LOT,PB3T-2B325-UPC,SEWT,LD-01,U704,30/01/2026,08:17:33
0010,GROUP 09R,N1VB-16450-AC,ARK,PF-03,U704,30/01/2026,08:17:33
0010,GROUP 09L,N1VB-16451-AC,ARK,PF-04,U704,30/01/2026,08:17:33
0010,GROUP 10,N1VB-E044D70-EG31TR,SI,PI-03-1,U704,30/01/2026,08:17:33
0010,GROUP 10,N1WB-E04652-LA3ZHE,SI,PJ-02-2,U704,30/01/2026,08:17:33
0010,GROUP 11,P1VB-E045B58-ED31TR,SI,PK-06-2,U704,30/01/2026,08:17:33
0011,GROUP 01,RB3T-14290-XUC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:19:30
0011,GROUP 07,RB3T-14A005-UDEC,SEWT,PB-12,U704,30/01/2026,08:19:30
0011,GROUP 01,P1VT-14630-VSF,SEWT,PA-15-2,U704,30/01/2026,08:19:30
0011,GROUP 01,P1VT-14631-UUE,SEWT,PA-23-2,U704,30/01/2026,08:19:30
0011,GROUP 01,P1VT-14632-UCF,SEWT,PA-16-1,U704,30/01/2026,08:19:30
0011,GROUP 01,P1VT-14633-UCF,SEWT,PA-17-1,U704,30/01/2026,08:19:30
0011,GROUP 02,RB3T-14405-VXC,SEWT,PB-49,U704,30/01/2026,08:19:30
0011,GROUP 02,PB3T-2B572-PXE,SEWT,PB-39-1,U704,30/01/2026,08:19:30
0011,LOT,MB3T-14301-AF,SEWT,LD-01,U704,30/01/2026,08:19:30
0011,LOT,PB3T-14B060-UAF,SEWT,LD-01,U704,30/01/2026,08:19:30
0011,GROUP 03,PB3T-7C078-BUC,SEWT,PC-19-2,U704,30/01/2026,08:19:30
0011,GROUP 04,R1VT-14401-KAC,SEWT,PX-OBSOLETEPART,U704,30/01/2026,08:19:30
0011,GROUP 04,PB3B-2104545-CC,HAS,PD-01,U704,30/01/2026,08:19:30
